date,name,is_public_holiday
2023-01-01,New Year's Day,True
2023-04-06,Maundy Thursday,True
2023-04-07,Good Friday,True
2023-04-09,Easter Sunday,True
2023-04-10,Easter Monday,True
2023-05-01,Labor Day,True
2023-05-17,Constitution Day,True
2023-05-18,Ascension Day,True
2023-05-28,Whit Sunday,True
2023-05-29,Whit Monday,True
2023-12-25,Christmas Day,True
2023-12-26,Second Day of Christmas,True
2024-01-01,New Year's Day,True
2024-03-28,Maundy Thursday,True
2024-03-29,Good Friday,True
2024-03-31,Easter Sunday,True
2024-04-01,Easter Monday,True
2024-05-01,Labor Day,True
2024-05-09,Ascension Day,True
2024-05-17,Constitution Day,True
2024-05-19,Whit Sunday,True
2024-05-20,Whit Monday,True
2024-12-25,Christmas Day,True
2024-12-26,Second Day of Christmas,True
2025-01-01,New Year's Day,True
2025-04-17,Maundy Thursday,True
2025-04-18,Good Friday,True
2025-04-20,Easter Sunday,True
2025-04-21,Easter Monday,True
2025-05-01,Labor Day,True
2025-05-17,Constitution Day,True
2025-05-29,Ascension Day,True
2025-06-08,Whit Sunday,True
2025-06-09,Whit Monday,True
2025-12-25,Christmas Day,True
2025-12-26,Second Day of Christmas,True
